Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-02,3.359999895095825,3.359999895095825,3.0,3.119999885559082,266417,0.0,0.0
2019-04-03,3.119999885559082,3.359999895095825,3.0,3.359999895095825,247717,0.0,0.0
2019-04-04,3.5999999046325684,3.5999999046325684,3.119999885559082,3.4800000190734863,386408,0.0,0.0
2019-04-05,3.5999999046325684,3.8399999141693115,3.4800000190734863,3.7200000286102295,632483,0.0,0.0
2019-04-08,3.8399999141693115,3.8399999141693115,3.359999895095825,3.5999999046325684,275392,0.0,0.0
2019-04-09,3.5999999046325684,3.5999999046325684,3.240000009536743,3.359999895095825,334050,0.0,0.0
2019-04-10,3.4800000190734863,3.5999999046325684,3.359999895095825,3.4800000190734863,198050,0.0,0.0
2019-04-11,3.4800000190734863,3.4800000190734863,3.359999895095825,3.4800000190734863,211558,0.0,0.0
2019-04-12,3.359999895095825,3.4800000190734863,3.240000009536743,3.359999895095825,191483,0.0,0.0
2019-04-15,3.240000009536743,3.359999895095825,3.119999885559082,3.359999895095825,176042,0.0,0.0
2019-04-16,3.119999885559082,3.240000009536743,2.880000114440918,3.0,546642,0.0,0.0
2019-04-17,3.0,3.0,2.4000000953674316,2.640000104904175,664542,0.0,0.0
2019-04-18,2.5199999809265137,2.640000104904175,2.4000000953674316,2.640000104904175,256733,0.0,0.0
2019-04-22,2.759999990463257,2.759999990463257,2.5199999809265137,2.759999990463257,301617,0.0,0.0
2019-04-23,2.640000104904175,3.119999885559082,2.640000104904175,3.119999885559082,409825,0.0,0.0
2019-04-24,3.119999885559082,4.440000057220459,3.119999885559082,3.4800000190734863,2162258,0.0,0.0
2019-04-25,3.4800000190734863,3.4800000190734863,2.880000114440918,3.0,575033,0.0,0.0
2019-04-26,3.119999885559082,3.119999885559082,2.759999990463257,2.880000114440918,437192,0.0,0.0
2019-04-29,2.880000114440918,2.880000114440918,2.640000104904175,2.640000104904175,380742,0.0,0.0
